internal_id,original_header,source_file,domain,organism,model_group,class,original_length,model_input_length,group_id,partition
seq_afa87ac2c5327f5ca0e3,35,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,d7fb63e5eccb0c4c2ed8,validation
seq_12ef2a13f1a8641bac3d,36,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,d2669e4797af8b2218ae,train
seq_27a72c51865fe0fd3da8,37,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,f3e98d535a236e7601bf,test
seq_76ceb5c6a6a0242c32d2,38,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,70e989424c7f14f93b65,test
seq_48de1fdb3169845ece50,39,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b332fb94eb76b5992525,test
seq_84fdbcc4309f387b2db3,40,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3dfb1d10c3af92d617e5,train
seq_6ef41b0b4b33b845cfa6,41,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3f75b5bc7e5c574190a7,train
seq_e42ca4bc02fd6c31aded,42,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,1464bd867493acb3c311,train
seq_5d05f951bf5fefba2a82,43,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,06e5324641134f2af5bd,quarantine_reverse_complement_conflict
seq_dc7d8ba396ba7a7edad9,44,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,8e32bb4537d833e77f27,train
seq_a7353e570aff0224522b,45,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,da348471ada10dfb382a,validation
seq_058ca0ba37b6c4edd3aa,46,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,73f025ad26705cad7ef3,validation
seq_b8f46c4cecdbe7cb4661,47,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,bbae51f045c768a7ca80,train
seq_8e2ea6a5942fabfd50f9,48,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,a9b901052a5f5f83542e,train
seq_f707c3b3924683903764,49,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,6c5647bba406298596c0,validation
seq_da091d37bf99557f0e7c,50,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,9591337b12bd9df46bb4,train
seq_411ff6c842ba227f20e8,51,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,1b5c0eb44b6ab4d2a005,train
seq_8731406debc17297531f,52,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,be41bac242ae1cddf5e5,test
seq_a15ed4c4c4210d5a8255,53,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,e42f235892902bc15c67,train
seq_89f2214b43a141bc63dd,54,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,84df5d69e35c0580d279,train
seq_6c2446105a1d4b31b0f1,55,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,027e1b72b8099eb7ce90,train
seq_2f604744ab48168779f1,56,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,ac4d553764687268ee60,train
seq_5c4c156e088c11c10cd4,57,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,1a2f28f2b128a44ff0be,test
seq_bec9cad75d2b1b594b03,58,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,452d728135e33690d061,train
seq_960a0b2df51424455f52,59,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,41017a5a49af29243abc,validation
seq_3e36e7478cee4b17b879,60,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,eb8ebf490cafa28cfe64,train
seq_fd2f7392dbbfe125902f,61,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,8a9a995352a3aeca80d8,validation
seq_18faea2ef50a9c32358b,62,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,e061f335a6c9fc03ae54,test
seq_eec085991349868211ea,63,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5229159cc6f11ce23155,train
seq_b3e60c79ec6dee2a6adc,64,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,e9ec0ec38af076fe0d6f,train
seq_5d121ace074f4c3378e0,65,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3212018f91b41497f297,train
seq_d397a2b036ad5af25195,66,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,e7abc1449d8212b98749,train
seq_d93aaa5c8b9814021202,67,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,0ce1a4972192dadc051f,train
seq_65c070c9fda0c50184b2,68,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,858f6c2e05538ba63348,train
seq_c6a46a5795fbc121f5fd,69,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,161ef2ae0efeb97acc25,test
seq_56474914d5093c623d3b,70,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b3752ddc393ccdf5f462,train
seq_a58b1532c03a80428b21,71,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,03232707490bc9174aa4,test
seq_2f4e237da233007ec0e2,72,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,171fff0e7936f7d4fabb,train
seq_e247b90f87a89579a7cb,73,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,f47d3e292eb00371158c,train
seq_1741d785691fd3bed3b2,74,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,c7c18e37a7a158ca27e7,validation
seq_b6d7e1f2adcbdfc92743,75,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,0e6e4552be96242f24e1,train
seq_702a19b6175a4d11f9a0,76,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5caae8976068e54796a3,validation
seq_d622b353acd76b022ecb,77,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,8ecc8dc0dc5d05f576c4,test
seq_80352dbfaf5df9e32eb1,78,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,001a9236e8053e61d141,train
seq_1bf4fc70838b61e5dbed,79,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,c487640be60ae561a002,validation
seq_d13c111e4abe61c140ec,80,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,7261588e9a3d2fdd66b8,train
seq_b13c72d37947c1499886,81,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,2e9abdfb57264bcb0557,test
seq_6cb480eccd9022aea6b3,82,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,08736db54c5035d1c5c3,test
seq_804afe48f6abc9f5a5d0,83,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,cb8b2ac3e044a0432816,test
seq_167425e17ec19d55ddc0,84,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,30331a125f55fae371c6,test
seq_fbb1c361e42f2cdd2ac6,85,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,47aa50930ad04b53b908,validation
seq_37ffe05f9f5dd13dd9d7,86,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,c2796201a0f0ad6f78dd,validation
seq_d3ae546c49854194013f,87,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,6865df2b8ee926ffb620,train
seq_b659f2342109df43c15d,88,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,ba16fe8c598716f5488a,train
seq_af7a3efad7b26dde8b14,89,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,fa084146ebd7530c57c4,train
seq_a48f9c9cbfd1ee639207,90,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,0c86117d1c5fcdf96aa4,train
seq_2d882d1b2195d8fb738e,91,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,10c740678998555b5e25,test
seq_a8672a2c89bfb6d764f6,92,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,e8ebb195d794517c5bda,train
seq_e2908e980d7e375aa9ea,93,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,97b2329886e0cad9b7cf,train
seq_16e107d54aa354a786f8,94,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,77455495682d8d02c384,train
seq_d7e87ec3e639dd538a80,95,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,18351e95fbce52c7f608,train
seq_6c4cf6d1c845f333a914,96,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,4bfc3e83d7cd8e814340,test
seq_3a3d2a584606c6298bec,97,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,2a7ddcb0cb03dedad763,train
seq_2896b4092148b5180d38,98,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,07c5264062675f47d905,test
seq_c77bbe92a9d0a9c4de05,99,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,6ec944eb1b5969748c0b,train
seq_f5e2f98af51bb70c4da6,100,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,cd4e01513004a3b6e61b,train
seq_8630e20b4353fc2f551a,101,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,cd1130a595ba11bfea2f,validation
seq_bea26fb269a5fbd0ce18,102,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,532670f468ccd6169be4,train
seq_f0119f8dd9dcae15960e,103,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,f824200ebffe18afa57a,test
seq_1d5f2ab636f2a9532631,104,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,860059ed8bc69051a700,train
seq_109f8dc1fd06ea97d81f,105,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,6b6f39f06718b4b2c4e5,train
seq_a080cca3d1dbee04616b,106,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,a35108e5b2aff6f915c5,validation
seq_b298f1f3da006f5430ec,107,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,c544fdaa9597ec6313e9,train
seq_e8fc7783fce3d7fc0467,108,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b710b9409d8ba24cdafc,train
seq_4f4c57179356cda49a00,109,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5818dad3a5f73316dfa7,train
seq_2840b79c2af16d8aaaa9,110,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,2d4f32e8fa1e6740e834,train
seq_57743a39d5bf3b832773,111,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,a15efcee4071a77884f3,train
seq_9fa0e896fcd17765ab25,112,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,cf7f29541719bdefad90,train
seq_49bd740bc3b80bf36bfe,113,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,dbb4cd3f9c1f926c0887,validation
seq_9b059ec6cbbe94d71d9c,114,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b00daef17655c4eea196,train
seq_74f858b90d46626de196,115,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,8916cb69b30da603145a,train
seq_36982d06143274209c8d,116,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,aba1c096618a077e25c9,train
seq_e4eaec6671887cb689e9,117,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5388f5e20a89149f29ec,train
seq_9710bf836821b82df78a,118,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,26803cd53427fd2031f7,train
seq_41af9e7f2b759bf5cf34,119,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,4dbcada29f5048dbb4f4,train
seq_f263769e338beb250c03,120,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,1b6d5d3cbd1564b7843b,train
seq_546ccb8a2932c0bd5540,121,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3040f427c19b40a69c19,train
seq_dcb2a351c237ab08384c,122,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5ce4116ac054a5012484,train
seq_4679c4839f29518cd580,123,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,754f4ff54aced2f6544c,train
seq_5f4dd6e7e8d6e5dc1109,124,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3b9d91410ed7818de72a,train
seq_25626b733f417e5ffcfc,125,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,cc69c328485fba6b9c6c,validation
seq_b1c8852d0c54680a446e,126,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3d54f0ce8040690d22c2,train
seq_972e6d8865146328c7dc,127,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,4f4b92feb5caa3803175,train
seq_2fe42b5e5dfa08126e33,128,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,98994b89a3567a19761e,test
seq_54c87f72a6af88faf5b3,129,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,413abc208cf61fe9f579,train
seq_36b3d27134a0435278c0,130,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3c590f62b02a7521c4ff,train
seq_b364f01dacb0392efb1c,131,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,656855cbaeb0d2727c18,train
seq_204ea2ee1843ee94d75f,132,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,c2eb9562dad573236cd7,train
seq_e3b6aa5fc2d3db2994eb,133,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,6439aa0421b8220536b7,train
seq_e4b1e5fdae4eb6fb8fb6,134,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,d2a7da542e4fa03e7073,validation
seq_bf58784fedf44180def6,135,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,f0beb13ea786f9cca295,train
seq_f01916b089033239fa17,136,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,8f2757abbd43d2eef150,validation
seq_74daa5389a485a598426,137,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,adb90599097e6beefb50,validation
seq_1b2bebee26289eb4fb3d,138,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,a70369c9c78c0afdfbf4,train
seq_6855b2f508effa75e987,139,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,25cf16af4eb4e290d3fc,train
seq_fad788797b18b44af89d,140,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,55758f9a970bcce8f2b4,train
seq_21736b4b65b3cd8df5e7,141,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,9da6708ba13964fe57c2,train
seq_d265640b12cebdd84e60,142,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b8c6db2cdf2d9362694a,train
seq_403737617b8ea3ffd1ab,143,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,13bf04d0e6d3ab674b08,test
seq_c59b355e150578ed2ee4,145,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,6e588c2fffeea80a87de,train
seq_203e3c69b99bfe7dbe8e,146,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,add9bf407402e40697f0,train
seq_44b85e97ce2754aa9dea,147,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,a007e8c0ae28af3406fa,train
seq_c8124bb85a796e24bc10,148,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,eaf2094b2d4a35f0a961,train
seq_2c596e60c7d20053ba69,149,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b6b55b4d941cd50e1bde,train
seq_ece2c34535ed4227f58b,150,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,1331d49124602905758c,train
